episode_id,episode_name,release_date,duration_ms,description,external_url,show_id,show_name,publisher
1Oj7wkCnlobU0zuRKToB9l,Showkesmas - Nikmatin Hidup Ala Soleh Solihun,2025-05-05,3282581,"Soleh the real nikmatin hidup dengan cara yang berbeda nih Masyarakat, caranya gimana? langsung nonton fullnya Gas ",https://open.spotify.com/episode/1Oj7wkCnlobU0zuRKToB9l,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
695gOe1vtsCFUygvYsUvoX,"Menguak Tweet Jadul, Surya : Se Cringe Itukah Gue?",2025-05-01,1355263,"S13E12Masyarakat Sehat, menurut lo tweet siapa yang paling cringe? comment langsung Masyarakat ",https://open.spotify.com/episode/695gOe1vtsCFUygvYsUvoX,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
2rqRdqI23rO9zvRkMrw3a3,Showkesmas - Cuma Wendy Cagur Yang Bikin Surya Insomnia Nangis,2025-04-28,3074474,"Kapan lagi liat seorang Surya Insomnia nangis Masyarakat? emang deep banget nih pak Sur nanyanya, langsung nonton Masyarakat biar ikutan juga sedihnya",https://open.spotify.com/episode/2rqRdqI23rO9zvRkMrw3a3,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
1Dlz9Bzm2BEDpckVc7quhF,"Liburan Ala Omesh Sang Putra Daerah Sukabumi, Privilege Bro !!",2025-04-24,1228778,"S10E11 Masyarakat sehat, saatnya melanjutkan cerita Si EO liburan & Putra daerah Sukabumi siapa lagi kalau bukan kang Omesh, tapi mohon maaf masyarakat, maaf guys, di episode alat kami di sadap oleh agen 007 yang sirik kepada putra daerah sukabumi",https://open.spotify.com/episode/1Dlz9Bzm2BEDpckVc7quhF,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
68FGJfK2q0ZcdX5Sv174j7,Showkesmas - Inyonk Berawal Kurir Sekarang Ada Di Puncak Karir,2025-04-21,2560405,"Hari senin udah saatnya Showkesmas Masyarakat, kali ini kedatangan Inyonk nih, berawal dari kurir sekarang ada di puncak karier ges, nih selengkapnya langsung nonton dan dengerin Masyarakat",https://open.spotify.com/episode/68FGJfK2q0ZcdX5Sv174j7,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3Abcr7fr4NnU4KqfNLx9K1,"Hasil Liburan Darto, Mandi Lumpur = Muka Mulus",2025-04-17,1882056,"S13E10 The real masih anget nih masyarakat, di take tadi pagi langsung upload sore ini, langsung gas nih cerita liburannya bapaks bapaks part 1",https://open.spotify.com/episode/3Abcr7fr4NnU4KqfNLx9K1,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
7MIhCh5niTvY6XmCOYUevq,Showkesmas - Sinta & Jojo Kena Sisi Gelap Entertainment,2025-04-14,2879978,"Show show showkesmas Masyarakat, siapa yang dulu nontonin Sinta & Jojo karena keviralannya Masyarakat? ",https://open.spotify.com/episode/7MIhCh5niTvY6XmCOYUevq,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
09CTYme6UGwwEJYWSHe2wf,Suami-Suami Takut Istri = Surya,2025-04-09,1798056,"S13E09 Masyarakat, sambil nemenin aktivitasnya, saatnya mendengarkan asupan bapaks-bapaks dulu nih, kira kira apa bener Surya takut istri? atau ada yang lebih takut lagi sebenenrya? Hm kita dengerin Masyarakat ",https://open.spotify.com/episode/09CTYme6UGwwEJYWSHe2wf,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
4mNDANfbBwYRWK1S2AoJuV,Showkesmas - Punya Musuh Boleh Tapi Dikit Aja,2025-04-07,2929066,"Saatnya Showkesmas Masyarakat Sehat bersama the one and only Paman Coki, fix obrolannya daging semua ini Masyarakat ",https://open.spotify.com/episode/4mNDANfbBwYRWK1S2AoJuV,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
4ylPYXNgtF6SqTHMkGCsFw,Surya Hobi Masak Nggok Hobi Ngerusak,2025-04-03,1668048,"S13E08 Masyarakat Sehat, siapa yang udah nungguin Podkesmas? sambil menemani libur lebaran atau yang udah masuk kerja, saatnya nih Masyarakat mendengarkan bapaks-bapaks yang bahas soal makanan, hm siapa yang suka makan makanan yang Surya & Omesh makan juga? cung ",https://open.spotify.com/episode/4ylPYXNgtF6SqTHMkGCsFw,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
34NCnRDQPV35etSOeRzt4A,"Showkesmas - Gustiwiw, Refo & Fauna Debut Star Syndrome",2025-03-31,2970901,"Senin Ceria disambut dengan Showkesmas masyarakat, kali ini bersama Gustiwiw dan Refo, ternyata bukan cuma musisi tapi pelawak juga nih Masyarakat",https://open.spotify.com/episode/34NCnRDQPV35etSOeRzt4A,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
6FgAoIZCViG1CmbWqMTU9s,"Surya Kurang Tidur, Darto Kurang Kerjaan !!!",2025-03-27,1691688,"S13E07 Masyarakat Sehat, udah hari kamis saatnya nih Masyarakat nih yuk yuk langsung ah uhuuuuy, siapa yang akhir akhir ini kurang tidur juga?",https://open.spotify.com/episode/6FgAoIZCViG1CmbWqMTU9s,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
6HMJQMlNoT1fSMF9oyS60l,Showkesmas - Surya Klarifikasi Ga Main Di Film Modal Nekad,2025-03-24,2629226,"Udah hari senin saatnya Showkesmas Masyarakat, siapa yang kangen sama filmnya Modal Nekad? yuk letsgo saatnya nonton Sutradarto bersama para cast mega bintang dunia",https://open.spotify.com/episode/6HMJQMlNoT1fSMF9oyS60l,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
5Toal0QD9PtTv5khhD28dU,"Surya Style Pria Soft Spoken, Omesh & Nggok Skena, Darto??",2025-03-20,1978560,"S13E06 Masyarakat sehat, hari kamis saatnya kita Podkesmas dulu dong, siapa yang setuju kalau outfit bapak-bapak ini tetep kece? menurut lo siapa yang paling lo suka outfitnya? Darto pasti kan? ya dong?Buat yang mau liat style yang super kece dari Matahari, langsung mampir di youtube Podkesmas ya Masyarakat",https://open.spotify.com/episode/5Toal0QD9PtTv5khhD28dU,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
15LNs7vZTFugAsixrsGiFY,Showkesmas - Edy Khemod : Nyawa Band Ada Di Drummer Bukan Vokalis,2025-03-17,3059498,"Hari senin yang ceria kita sambut dengan Showkesmas dulu Masyarakat, kali ini bintang tamu yang spesial karena selain drummer band Seringai, Edy Khemod juga jadi Director creative event Hajatan & Selametan Podkesmas",https://open.spotify.com/episode/15LNs7vZTFugAsixrsGiFY,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
